date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:28	58550/58550	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2012:01:28%20GMT	https://marketifythemes.net/tailwind/dizme/index-dark.html	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/index-dark.html	(from )
03:01:32	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
03:01:37	92627/92627	---MCZ	200	added ('OK')	text/css	etag:W/%2221d8f-63c14819-ba0ee639780c7583;gz%22	https://marketifythemes.net/tailwind/dizme/assets/css/icon.css	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/css/icon.css	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:37	5927/5927	---MCZ	200	added ('OK')	text/css	etag:W/%221e66-63c14819-e65d505508f284c0;gz%22	https://marketifythemes.net/tailwind/dizme/assets/css/magnific-popup.css	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/css/magnific-popup.css	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:38	57481/57481	---M-Z	200	added ('OK')	text/css	etag:%22e089-63c14819-fe36b0325ea22643;gz%22	https://marketifythemes.net/tailwind/dizme/assets/css/animate.min.css	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/css/animate.min.css	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:38	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-63c14819-87223ffe90c629c2;gz%22	https://marketifythemes.net/tailwind/dizme/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/css/owl.carousel.min.css	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:39	38576/38576	---MCZ	200	added ('OK')	text/css	etag:W/%22c578-63c14819-ae99fe8d762bb439;gz%22	https://marketifythemes.net/tailwind/dizme/assets/css/style.css	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/css/style.css	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:39	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/tailwind/dizme/index.html	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/index.html	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:44	4175/4175	---M--	200	added ('OK')	image/png	etag:%22104f-63c1481d-36cd3210b2db4c2c;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/logo/logo.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/logo/logo.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:45	4261/4261	---M--	200	added ('OK')	image/png	etag:%2210a5-63c1481c-d08f5a55caad286c;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/logo/dark.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/logo/dark.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:47	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/tailwind/img/slider/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/img/slider/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:49	1519/1519	---M-Z	200	added ('OK')	image/svg+xml	etag:%225ef-63c14822-d08fe81764693d62;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/skills/illustrator.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/skills/illustrator.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:51	1807/1807	---M-Z	200	added ('OK')	image/svg+xml	etag:%2270f-63c14822-621fd6fac3d47244;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/skills/photoshop.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/skills/photoshop.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:53	855/855	---M-Z	200	added ('OK')	image/svg+xml	etag:%22357-63c14822-674dfbfb9927cafd;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/skills/figma.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/skills/figma.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:54	7051/7051	---M--	200	added ('OK')	image/png	etag:%221b8b-63c1481f-150e02a9e41a0d03;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:55	904230/904230	---M--	200	added ('OK')	image/png	etag:%22dcc26-63c14820-51c45ca01c1137e9;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/slider/avatar.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/slider/avatar.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:01:57	2827/2827	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b0b-63c14822-5ec59e8dd56eea4;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/target.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/target.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:03	6340/6340	---M--	200	added ('OK')	image/png	etag:%2218c4-63c14822-21d42a6110c1de2e;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:05	2824/2824	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b08-63c14821-894e0ba57dd66ba1;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/target-2.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/target-2.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:06	7058/7058	---M--	200	added ('OK')	image/png	etag:%221b92-63c1481f-87db17fa415f7c0;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:07	1503/1503	---M-Z	200	added ('OK')	image/svg+xml	etag:%225df-63c14821-29a2f82126b78a95;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/brush.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/brush.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:07	6519/6519	---M--	200	added ('OK')	image/png	etag:%221977-63c14822-b95f8a40c7fc2602;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:08	1500/1500	---M-Z	200	added ('OK')	image/svg+xml	etag:%225dc-63c14821-278d844720e68ee;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/brush-2.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/brush-2.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:09	7056/7056	---M--	200	added ('OK')	image/png	etag:%221b90-63c1481f-62bff52f89204481;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/3.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/3.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:10	2696/2696	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a88-63c14821-f7cef58c1ba63314;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/energy.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/energy.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:11	6486/6486	---M--	200	added ('OK')	image/png	etag:%221956-63c14822-fb8f545b6761a6cd;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/3.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/process/dark/3.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:14	2693/2693	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a85-63c14821-284e5ff18e7f3f6f;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/process/energy-2.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/process/energy-2.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:24	93170/93170	---M--	200	added ('OK')	image/jpeg	etag:%2216bf2-63c1481c-d985788cf2c7368d;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/about/1.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/about/1.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:26	6469/6469	---M--	200	added ('OK')	image/png	etag:%221945-63c1481f-54b1b15a6909648d;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/about/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/about/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:26	91542/91542	---M--	200	added ('OK')	image/jpeg	etag:%2216596-63c1481c-e2017f0afab4c4c3;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/about/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/about/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:28	19406/19406	---M--	200	added ('OK')	image/png	etag:%224bce-63c1481f-dab963bbccc6cfe4;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/about/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/about/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:29	36983/36983	---M--	200	added ('OK')	image/jpeg	etag:%229077-63c1481d-7790a0534636ca72;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/1.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/1.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:30	21740/21740	---M--	200	added ('OK')	image/jpeg	etag:%2254ec-63c1481d-27babf5e2621d0de;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:31	32600/32600	---M--	200	added ('OK')	image/jpeg	etag:%227f58-63c1481d-5e154ac5b6d4de43;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/4.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/4.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:32	95620/95620	---M--	200	added ('OK')	image/jpeg	etag:%2217584-63c1481d-eba2aa87291c8d4c;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/3.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/3.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:34	95645/95645	---M--	200	added ('OK')	image/jpeg	etag:%221759d-63c1481d-cce77f03dc4e2396;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/5.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/5.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:35	93666/93666	---M--	200	added ('OK')	image/jpeg	etag:%2216de2-63c1481d-4dc6f86b5bb08d79;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/portfolio/6.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/portfolio/6.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:36	32490/32490	---M--	200	added ('OK')	image/png	etag:%227eea-63c1481f-33577af8a2dbdf66;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/portfolio/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/portfolio/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:38	75828/75828	---M--	200	added ('OK')	image/png	etag:%2212834-63c1481f-61a75ecff365e99f;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/portfolio/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/portfolio/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:39	76662/76662	---M--	200	added ('OK')	image/jpeg	etag:%2212b76-63c1481d-4d39ea077e015ceb;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/skills/1.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/skills/1.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:40	77533/77533	---M--	200	added ('OK')	image/jpeg	etag:%2212edd-63c1481d-596073166edcfe9f;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/skills/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/skills/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:43	2165/2165	---M-Z	200	added ('OK')	image/svg+xml	etag:%22875-63c14822-a67239068a62ed56;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
